name.vec;alternative;by_removal;n_removal;by_fertility;n_fertility;predation;rate;Er;Ef;Rm;ext50;Re;Erf;ETI;MTI
v2026;rf + f;5;37;5;37;With predation;Max;4,16;4,16;0,0120918984280532;1;44;8,32;19,1478346077197;0,0052621288907661
v2026;rf + f;5;37;5;37;With predation;Mean;3,06;3;0,011659756567214;1;59,724;6,06;32,5811516090136;0,0063607309698043
v2026;rf + f;5;37;5;37;Without predation;Max;7,4;7,4;0,00316055625790139;0;0;14,8;0;0,000719461720555666
v2026;rf + f;5;37;5;37;Without predation;Mean;7,4;7,4;0,00460221997959906;0;0;14,8;0;0,00104763871758973
v2026;rf + f;5;50;5;50;With predation;Max;4,32;4,32;0,0116686114352392;1;56;8,64;23,6024776274514;0,00491800250613673
v2026;rf + f;5;50;5;50;With predation;Mean;3,4;3,4;0,0115045298001535;1;66,772;6,8;33,8278298142351;0,00582839028593406
v2026;rf + f;5;50;5;50;Without predation;Max;10;10;0,00333222259246918;0;0;20;0;0,000450967288359256
v2026;rf + f;5;50;5;50;Without predation;Mean;9,94;10;0,00665782654148457;0,03;0,328;19,94;0,0446571133589698;0,00090646132496169
v2026;rp;1;25;0;0;With predation;Max;5,38;0;0,0107688994184794;1;78;5,38;45,545363381905;0,00628812099022859
v2026;rp;1;25;0;0;With predation;Mean;4,52;0;0,0107594387486645;1;80,932;4,52;51,5014156641907;0,00684681371161433
v2026;rp;1;25;0;0;Without predation;Max;24,5;0;0,00467858145410312;0;0;24,5;0;0,000403731573403998
v2026;rp;1;25;0;0;Without predation;Mean;9,64;0;0,0102117303428705;1;60,632;9,64;23,1228846936997;0,00389439014450041
v2026;rp;1;50;0;0;With predation;Max;5,6;0;0,0105196717862403;1;88;5,6;50,2663976186957;0,00600893187301511
v2026;rp;1;50;0;0;With predation;Mean;5,02;0;0,0105375802955003;1;88,952;5,02;53,8443188446029;0,00637859557156133
v2026;rp;1;50;0;0;Without predation;Max;9,44;0;0,0103029054193283;1;80;9,44;31,1254755901789;0,00400853538921531
